Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,Profit Ratio,Decade,Budget Tier
Extreme Measures,17378193,38000000,1996,R,117,Drama,Contemporary Fiction,55,5.9,0.45732086842105263,1990,Low
That Thing You Do!,31748615,2500000,1996,PG,110,Drama,Historical Fiction,92,6.7,12.699446,1990,Low
The Ghost and the Darkness,38564422,55000000,1996,R,109,Action,Dramatization,51,6.6,0.7011713090909091,1990,Medium
The Long Kiss Goodnight,33447612,65000000,1996,R,120,Action,Contemporary Fiction,69,6.6,0.5145786461538462,1990,Medium
Sleepers,165600852,44000000,1996,R,105,Drama,Dramatization,73,7.3,3.7636557272727273,1990,Low
Set It Off,36049108,9000000,1996,R,120,Drama,Contemporary Fiction,61,6.3,4.0054564444444445,1990,Low
Ransom,308700000,70000000,1996,R,121,Action,Contemporary Fiction,70,6.6,4.41,1990,Medium
The Mirror Has Two Faces,41267469,42000000,1996,PG-13,127,Romantic Comedy,Contemporary Fiction,54,6.0,0.9825587857142857,1990,Low
The English Patient,231716374,35000000,1996,R,160,Drama,Historical Fiction,83,7.3,6.620467828571429,1990,Low
Space Jam,250200000,80000000,1996,PG,87,Comedy,Kids Fiction,36,5.6,3.1275,1990,Medium
Jingle All the Way,129832389,60000000,1996,PG,89,Comedy,Kids Fiction,16,4.9,2.16387315,1990,Medium
Shine,35811509,5500000,1996,PG-13,105,Drama,Dramatization,90,7.6,6.5111834545454546,1990,Low
Daylight,158908290,80000000,1996,PG-13,115,Action,Contemporary Fiction,22,5.4,1.986353625,1990,Medium
Mars Attacks!,101371017,80000000,1996,PG-13,110,Comedy,Science Fiction,50,6.3,1.2671377125,1990,Medium
Jerry Maguire,274000000,50000000,1996,R,138,Romantic Comedy,Contemporary Fiction,84,7.2,5.48,1990,Low
Beavis and Butt-head Do America,63118386,12000000,1996,PG-13,80,Comedy,Contemporary Fiction,71,6.6,5.2598655,1990,Low
My Fellow Americans,22331846,21500000,1996,PG-13,102,Comedy,Contemporary Fiction,50,6.3,1.038690511627907,1990,Low
Scream,173046663,15000000,1996,R,110,Horror,Contemporary Fiction,81,2.9,11.5364442,1990,Low
